pid,name,site,price,broadcast_date,image_url
2043856962,탄탄 슬리밍 C3G 다이어트 30개입(15일분),cjmall,31000,2025-09-01T01:00:00+09:00,http://cdn.image.buzzni.com/2025/10/10/yCb9fJrR.jpg
1074680280,"라삐아프  컴포트 스트링 팬츠 2종 [런칭 가격 69,900원]",gsshop,29900,2025-09-01T01:00:00+09:00,https://asset.m-gs.kr/api/550/1/1074680280.jpg
2226779483,락앤락 비스프리 온더테이블 16종 +세척솔 2종,hmall,118000,2025-09-01T01:00:00+09:00,https://image.hmall.com/static/4/9/77/26/2226779483_0.png?RS=600x600&amp;AR=0
2237382457,[50%세일] 신정애 원장의 프리미엄 흑염소 진액 120포(4박스),hmall,89000,2025-09-01T01:00:00+09:00,https://image.hmall.com/static/4/2/38/37/2237382457_0.jpg?RS=600x600&amp;AR=0
66390284,블라우풍트 자동먼지비움 청소기,hnsmall,519000,2025-09-01T01:00:00+09:00,http://cdn.image.buzzni.com/2025/08/28/6ZmmZNor.jpg
11917704,[슈퍼농부] 2025년 해남황토 밤고구마 3.5 kg * 2박스(총7kg),immall,30900,2025-09-01T01:00:00+09:00,http://cdn.image.buzzni.com/2025/08/20/e2lbKShb.jpg
12785023,"(런칭가 79,000원) 스트레치 앵클 부츠",lotteimall,39000,2025-09-01T01:00:00+09:00,http://cdn.image.buzzni.com/2023/10/11/FHBD8ulB.jpg
33944987,용대리 황태 14미,nsmall,39900,2025-09-01T01:00:00+09:00,http://cdn.image.buzzni.com/2024/07/02/vnxA4jAw.jpg
35428830,오토다이렉트카 신차장기렌터카 비교견적서비스,nsmall,0,2025-09-01T01:04:00+09:00,http://cdn.image.buzzni.com/2025/08/28/1tDHiIp4.jpg
51483516,"수노은 내츄럴 리프레쉬 허브 바디워시(1,110ml)*4개 + (방송에서만)상품평시 수노은 샴푸(1,110ml)",bshop,59000,2025-09-01T01:21:00+09:00,http://imagecdn.skstoa.com/goods/516/51483516_g.jpg?time=20250710161753
66416928,블라우풍트 셀프스탠딩 LED 전기면도기,hnsmall,178000,2025-09-01T01:30:00+09:00,http://cdn.image.buzzni.com/2025/08/29/rkzpL9m7.jpg
15205912,[테이핑테크]3세대 GX X-9블럭 허리보호대,shopnt,39800,2025-09-01T01:31:00+09:00,http://cdn.image.buzzni.com/2025/08/13/atG3ZM8n.jpg
20063427,[웅니버스] 인터메조 25 워셔블 자켓,ssgshop,59000,2025-09-01T01:38:00+09:00,http://cdn.image.buzzni.com/2025/03/31/g3PyoVUR.jpg
1091257361,아뜰리에마졸리 25FW 캐시미어코튼 스트라이프 럭비 니트 2종,gsshop,79900,2025-09-01T01:39:00+09:00,http://cdn.image.buzzni.com/2025/08/28/I7dOm287.jpg
2210737531,비너지 맥주효모 비오틴 18박스(36주분),hmall,276000,2025-09-01T01:40:00+09:00,https://image.hmall.com/static/5/7/73/10/2210737531_0.jpg?RS=600x600&amp;AR=0
4650750,테팔 엑스퍼트 6.60 무선 청소기,kshop,229000,2025-09-01T01:40:00+09:00,http://imgs.kshop.co.kr/d2/product/emc/202307/A3/20/6965/A3206965_550_20230727154608.jpg
5257173,에코라믹 IH 슬림 프라이팬 3종세트,kshop,39900,2025-09-01T01:41:00+09:00,http://cdn.image.buzzni.com/2025/05/26/WCNBuPf2.jpg
